corner,v_volt,t_celsius,canary,can_sel,loop_delay_ns,startpoint,endpoint,f_osc_mhz,count_win0,sat_win0,count_win1,sat_win1,count_win2,sat_win2,count_win3,sat_win3,run_id,git_commit,librelane_image,pdk_rev
nom_fast_1p32V_m40C,1.32,-40,ro_gen,0,0.47,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,1063.83,5446,1,21787,1,87148,1,348595,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,0,0.86,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,581.395,2976,1,11906,1,47627,1,190511,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,1,0.74,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,675.676,3459,1,13837,1,55351,1,221405,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,1,2.03,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,246.305,1261,1,5044,1,20177,1,80709,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,2,1.03,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,485.437,2485,1,9941,1,39766,1,159067,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,2,3.46,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,144.509,739,0,2959,1,11838,1,47352,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,3,1.29,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,387.597,1984,1,7937,1,31751,1,127007,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,3,4.3,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,116.279,595,0,2381,1,9525,1,38102,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,0,0.72,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,694.444,3555,1,14222,1,56888,1,227555,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,0,1.31,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,381.679,1954,1,7816,1,31267,1,125068,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,1,1.1,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,454.545,2327,1,9309,1,37236,1,148945,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,1,3.07,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,162.866,833,0,3335,1,13342,1,53368,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,2,1.53,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,326.797,1673,1,6692,1,26771,1,107084,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,2,5.22,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,95.785,490,0,1961,1,7846,1,31386,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,3,1.9,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,263.158,1347,1,5389,1,21557,1,86231,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,3,6.43,u_ro_mat.u_gate.u_a3/X,u_ro_mat.u_gate.u_a2/A,77.76,398,0,1592,1,6370,1,25480,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_slow_1p08V_125C,1.08,125,ro_gen,0,1.16,u_ro_gen.u_gate.u_a3/X,u_ro_gen.u_gate.u_a2/A,431.034,2206,1,8827,1,35310,1,141241,1,33835818836,8bcffc2b30d7dbb3ed86c46f522d9b7113761d03,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
