corner,canary,can_sel,f_osc_static_mhz,f_osc_counter_mhz,delta_pct,counter_final,ring_edges,count_error_edges,count_matches_ring_edges,ripple_stage_rates_ok,status
nom_fast_1p32V_m40C,ro_gen,0,1235.0992,1235.107530670278,0.001,24,23,1,True,True,ok
nom_fast_1p32V_m40C,ro_gen,1,759.8867,759.9326139079858,0.006,22,21,1,True,True,ok
nom_fast_1p32V_m40C,ro_gen,2,546.5744,546.5680591496766,-0.001,20,19,1,True,True,ok
nom_fast_1p32V_m40C,ro_gen,3,432.6667,432.6556040128065,-0.003,20,19,1,True,True,ok
nom_fast_1p32V_m40C,ro_mat,0,688.326,688.291207080235,-0.005,22,21,1,True,True,ok
nom_fast_1p32V_m40C,ro_mat,1,327.8687,327.8661760025441,-0.001,20,19,1,True,True,ok
nom_fast_1p32V_m40C,ro_mat,2,215.2714,215.28844468626886,0.008,18,18,0,True,True,ok
nom_fast_1p32V_m40C,ro_mat,3,161.8761,163.94636897453057,1.279,38,38,0,True,True,ok
nom_slow_1p08V_125C,ro_gen,0,519.1135,519.8820920444188,0.148,38,37,1,True,True,ok
nom_slow_1p08V_125C,ro_gen,1,320.3491,320.9027698784985,0.173,38,37,1,True,True,ok
nom_slow_1p08V_125C,ro_gen,2,230.7626,231.18412202444637,0.183,38,37,1,True,True,ok
nom_slow_1p08V_125C,ro_gen,3,182.7258,182.72469623770235,-0.001,66,65,1,True,True,ok
nom_slow_1p08V_125C,ro_mat,0,288.5257,288.9484509803868,0.147,38,37,1,True,True,ok
nom_slow_1p08V_125C,ro_mat,1,138.0403,138.03994518744494,-0.0,50,49,1,True,True,ok
nom_slow_1p08V_125C,ro_mat,2,91.2331577386874,218.8654941921641,139.897,50,49,1,True,True,ok
nom_slow_1p08V_125C,ro_mat,3,68.75412356427958,187.98025214543048,173.409,74,74,0,True,True,ok
nom_typ_1p20V_25C,ro_gen,0,822.1341,822.1946289156576,0.007,22,21,1,True,True,ok
nom_typ_1p20V_25C,ro_gen,1,506.4733,506.469537591151,-0.001,20,19,1,True,True,ok
nom_typ_1p20V_25C,ro_gen,2,364.4803,364.47892358161556,-0.0,20,19,1,True,True,ok
nom_typ_1p20V_25C,ro_mat,1,218.2369,219.2306050928276,0.455,38,37,1,True,True,ok
nom_typ_1p20V_25C,ro_mat,2,144.1929616391438,144.18936546810426,-0.002,54,54,0,True,True,ok
nom_typ_1p20V_25C,ro_mat,3,108.50264620559881,110.46037363907219,1.804,30,29,1,True,True,ok
