corner,canary,can_sel,status,vdd,f_osc_mhz,f_osc_prev_dataset_mhz,delta_prev_pct,period_ns,n_rise,q0_negedges,counter_final,counter_final_hex,counter_mod_65536,ring_edges_in_count_window,count_error_edges,count_ratio,expected_periods_in_window,count_matches_ring_edges,count_matches_period_estimate,ripple_stage_rates_ok,count_window_ns,sample_time_ns,n_bits_saved,ring_cells,tstop_ns,tstep_ps,period_hint_ns,wall_s,raw,note
nom_fast_1p32V_m40C,ro_gen,0,ok,1.32,1235.107530670278,1246.6497228786873,-0.926,0.8096461038151973,24,13,24,0x18,24,23,1,1.0434782608695652,24,True,True,True,20.13577702655829,20.720323736318328,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_gen_sel0.raw,
nom_fast_1p32V_m40C,ro_gen,1,ok,1.32,759.9326139079858,769.3563590781678,-1.225,1.3159061497011655,22,12,22,0x16,22,21,1,1.0476190476190477,22,True,True,True,29.14414751144664,29.72778142463136,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_gen_sel1.raw,
nom_fast_1p32V_m40C,ro_gen,2,ok,1.32,546.5680591496766,552.9925406944179,-1.162,1.8295983149029054,21,11,20,0x14,20,19,1,1.0526315789473684,19,True,True,True,36.27320400471027,36.85790283450496,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_gen_sel2.raw,
nom_fast_1p32V_m40C,ro_gen,3,ok,1.32,432.6556040128065,438.02766257635415,-1.226,2.311307170703838,21,11,20,0x14,20,19,1,1.0526315789473684,19,True,True,True,45.42435023040263,46.007954365515026,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_gen_sel3.raw,
nom_fast_1p32V_m40C,ro_mat,0,ok,1.32,688.291207080235,694.750433541889,-0.93,1.452873420019484,22,12,22,0x16,22,21,1,1.0476190476190477,22,True,True,True,32.057043290304,32.48,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_mat_sel0.raw,
nom_fast_1p32V_m40C,ro_mat,1,ok,1.32,327.8661760025441,331.51307547599407,-1.1,3.0500248979395805,20,11,20,0x14,20,19,1,1.0526315789473684,19,True,True,True,59.48494363999444,60.06855892789506,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_mat_sel1.raw,
nom_fast_1p32V_m40C,ro_mat,2,ok,1.32,215.28844468626886,218.25712894115733,-1.36,4.64493113625889,20,10,18,0x12,18,18,0,1.0,17,True,True,True,81.11818894131396,81.70285559796409,16,,,,,,runs/count-rerun/nom_fast_1p32V_m40C_ro_mat_sel2.raw,
nom_fast_1p32V_m40C,ro_mat,3,ok,1.32,163.94636897453057,164.2096583096534,-0.16,6.099555642829468,40,20,38,0x26,38,38,0,1.0,36,True,True,True,222.0541553735269,222.6373617168959,16,,,,,,runs/count-sweep/nom_fast_1p32V_m40C_ro_mat_sel3.raw,
nom_slow_1p08V_125C,ro_gen,0,ok,1.08,519.8820920444188,519.9720254268391,-0.017,1.9235130721035876,39,20,38,0x26,38,37,1,1.027027027027027,38,True,True,True,73.27808709915794,74.01952736321981,16,,,,,,runs/count-sweep/nom_slow_1p08V_125C_ro_gen_sel0.raw,
nom_slow_1p08V_125C,ro_gen,1,ok,1.08,320.9027698784985,320.94051360263063,-0.012,3.1162086895623373,39,20,38,0x26,38,37,1,1.027027027027027,37,True,True,True,117.39629331911785,118.13581147724615,16,,,,,,runs/count-sweep/nom_slow_1p08V_125C_ro_gen_sel1.raw,
