corner,v_volt,t_celsius,pattern,pat_name,seg0,seg1,seg2,seg3,cfg_word,clk_period_ns,capture_duty,startpoint,startpoint_reg,endpoint,endpoint_reg,endpoint_bit,path_delay_ns,arrival_ns,required_ns,slack_ns,slack_met,predicted_fmax_mhz,sensitizing_vector,sensitizing_chain_stages,global_startpoint,global_startpoint_reg,global_endpoint,global_slack_ns,global_path_delay_ns,control_startpoint,control_endpoint,control_slack_ns,run_id,git_commit,librelane_image,pdk_rev
nom_fast_1p32V_m40C,1.32,-40,0,prbs,0,0,0,0,0x0000,20.0,0.5,_1379_,u_pat.lfsr[12],_1304_,result_reg[16],16,3.39,3.6,9.9,6.3,True,135.135,"a=0x455D,b=0xBA8A,cin=1",12,_1380_,_0042_,_1304_,6.27,3.42,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,0,0,0,0,0x0100,20.0,0.5,_1383_,u_pat.idx[0],_1304_,result_reg[16],16,3.58,3.79,9.9,6.11,True,128.535,"a=0xFFFF,b=0x0001,cin=0",17,_1383_,u_pat.idx[0],_1304_,6.11,3.58,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,0,0,0,0,0x0200,20.0,0.5,_1383_,u_pat.idx[0],_1288_,result_reg[0],0,0.8400000000000001,1.05,9.91,8.86,True,438.596,"a=0xAAAA,b=0x5555,cin=0",1,_1383_,u_pat.idx[0],_1288_,8.86,0.8400000000000001,_1291_,_1269_,8.13,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,0,0,0,0,0x0300,20.0,0.5,,,,,,,,,,,,(no runtime-sensitizable path),,_1334_,capture_pending,_1297_,9.17,0.51,_1291_,_1269_,8.14,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,1,1,1,1,0x0055,20.0,0.5,_1379_,u_pat.lfsr[12],_1304_,result_reg[16],16,5.7700000000000005,5.98,9.9,3.92,True,82.237,"a=0x455D,b=0xBA8A,cin=1",12,_1380_,_0042_,_1304_,3.89,5.8,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,1,1,1,1,0x0155,20.0,0.5,_1383_,u_pat.idx[0],_1304_,result_reg[16],16,5.96,6.17,9.9,3.73,True,79.745,"a=0xFFFF,b=0x0001,cin=0",17,_1383_,u_pat.idx[0],_1304_,3.73,5.96,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,2,alt,1,1,1,1,0x0255,20.0,0.5,_1383_,u_pat.idx[0],_1288_,result_reg[0],0,0.8400000000000001,1.05,9.91,8.86,True,438.596,"a=0xAAAA,b=0x5555,cin=0",1,_1383_,u_pat.idx[0],_1288_,8.86,0.8400000000000001,_1291_,_1269_,8.13,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,3,hold,1,1,1,1,0x0355,20.0,0.5,,,,,,,,,,,,(no runtime-sensitizable path),,_1334_,capture_pending,_1297_,9.17,0.51,_1291_,_1269_,8.14,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,0,prbs,2,2,2,2,0x00AA,20.0,0.5,_1379_,u_pat.lfsr[12],_1304_,result_reg[16],16,8.17,8.38,9.9,1.52,True,58.962,"a=0x455D,b=0xBA8A,cin=1",12,_1380_,_0042_,_1304_,1.49,8.2,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,1,worst,2,2,2,2,0x01AA,20.0,0.5,_1383_,u_pat.idx[0],_1304_,result_reg[16],16,8.36,8.57,9.9,1.33,True,57.67,"a=0xFFFF,b=0x0001,cin=0",17,_1383_,u_pat.idx[0],_1304_,1.33,8.36,_1291_,_1269_,8.1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
