tag,corner,canary,can_sel,tstep_ps,window_ns,status,edges,count,f_mhz,period_ns,cv,count_ok,wall_s,raw,deck
nom_typ_1p20V_25C_ro_gen_sel3_dt40,nom_typ_1p20V_25C,ro_gen,3,40.0,1000.0,ok_partial_coverage,256,256,255.0965160694281,3.9200220770428067,0.00014020990419900744,True,220.0,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe40.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe40.sp
nom_typ_1p20V_25C_ro_mat_sel3_dt40,nom_typ_1p20V_25C,ro_mat,3,40.0,1000.0,ok_partial_coverage,95,95,94.77744180676517,10.551486054893918,0.00023034699781355027,True,306.77,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe40.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe40.sp
nom_typ_1p20V_25C_ro_gen_sel3_dt20,nom_typ_1p20V_25C,ro_gen,3,20.0,1000.0,ok_partial_coverage,284,284,283.2611873348004,3.53036423317335,6.783743240884299e-05,True,366.86,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe20.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe20.sp
nom_typ_1p20V_25C_ro_mat_sel3_dt20,nom_typ_1p20V_25C,ro_mat,3,20.0,1000.0,ok_partial_coverage,106,106,105.92047160619224,9.440371864293182,0.00014872257989766415,True,510.91,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe20.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe20.sp
nom_typ_1p20V_25C_ro_gen_sel3_dt10,nom_typ_1p20V_25C,ro_gen,3,10.0,1000.0,ok_partial_coverage,289,289,288.568745043655,3.4654058092623967,7.470402004529413e-05,True,642.92,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe10.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe10.sp
nom_fast_1p32V_m40C_ro_gen_sel0_dt20,nom_fast_1p32V_m40C,ro_gen,0,20.0,1000.0,ok_partial_coverage,1191,1191,1190.4766457324918,0.8400160184698757,7.029346997090468e-05,True,395.02,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe20.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe20.sp
nom_fast_1p32V_m40C_ro_gen_sel0_dt40,nom_fast_1p32V_m40C,ro_gen,0,40.0,1000.0,ok_partial_coverage,1087,1087,1086.9624927915972,0.9199927971509471,7.024099183157701e-05,True,310.77,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe40.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe40.sp
nom_typ_1p20V_25C_ro_mat_sel3_dt10,nom_typ_1p20V_25C,ro_mat,3,10.0,1000.0,ok_partial_coverage,108,108,107.93798208843421,9.264564732119114,2.2938310199554573e-05,True,881.3,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe10.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_mat_sel3_w0_t20_p0.25_probe10.sp
nom_fast_1p32V_m40C_ro_gen_sel0_dt10,nom_fast_1p32V_m40C,ro_gen,0,10.0,1000.0,ok_partial_coverage,1236,1236,1235.1820157209067,0.8096261619665021,0.00015649717137567712,True,665.8,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe10.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_probe10.sp
nom_typ_1p20V_25C_ro_gen_sel3_dt5,nom_typ_1p20V_25C,ro_gen,3,5.0,1000.0,ok_partial_coverage,291,290,290.03308333364924,3.4478892578333484,4.332794921662257e-05,True,1091.51,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe5.raw,/home/patrick/Data/verilog/tinyint-ttihp26b/runs/freeze-validation/timestep/nom_typ_1p20V_25C_ro_gen_sel3_w0_t20_p0.25_probe5.sp
