tag,corner,canary,can_sel,tclk_ns,phase,ring_edges,coverage_complete,highest_exercised_bit,unexercised_bits,status
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.05_dt10,nom_fast_1p32V_m40C,ro_gen,3,20.0,0.05,2190,False,11,12;13;14;15,ok_partial_coverage
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.35_dt10,nom_fast_1p32V_m40C,ro_gen,3,20.0,0.35,2190,False,11,12;13;14;15,ok_partial_coverage
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.65_dt10,nom_fast_1p32V_m40C,ro_gen,3,20.0,0.65,2190,False,11,12;13;14;15,ok_partial_coverage
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.05_dt10,nom_fast_1p32V_m40C,ro_mat,3,20.0,0.05,820,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.35_dt10,nom_fast_1p32V_m40C,ro_mat,3,20.0,0.35,820,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.65_dt10,nom_fast_1p32V_m40C,ro_mat,3,20.0,0.65,820,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.05_dt10,nom_slow_1p08V_125C,ro_gen,3,20.0,0.05,925,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.35_dt10,nom_slow_1p08V_125C,ro_gen,3,20.0,0.35,925,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.65_dt10,nom_slow_1p08V_125C,ro_gen,3,20.0,0.65,925,False,9,10;11;12;13;14;15,ok_partial_coverage
nom_slow_1p08V_125C_ro_mat_sel3_w0_t100_p0.05_dt10,nom_slow_1p08V_125C,ro_mat,3,100.0,0.05,1730,False,10,11;12;13;14;15,ok_partial_coverage
nom_slow_1p08V_125C_ro_mat_sel3_w0_t20_p0.05_dt10,nom_slow_1p08V_125C,ro_mat,3,20.0,0.05,346,False,8,9;10;11;12;13;14;15,ok_partial_coverage
