tag,corner,canary,can_sel,win_sel,tclk_ns,phase,tstep_ps,status,accepted,counter_final,ring_edges,f_count_mhz,f_steady_mhz,cv,coverage_complete,rate_stable,unexercised_bits,wall_s,settle_after_gate_close_ns,f_osc_dataset_mhz,f_osc_delta_pct
nom_fast_1p32V_m40C_ro_gen_sel0_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_gen,0,0,20.0,0.25,10.0,ok_partial_coverage,True,6250,6250,1235.1851410135407,1235.1858363615172,0.00015658289388270052,False,True,"[13, 14, 15]",5273.91,-0.472,1235.099,0.007
nom_fast_1p32V_m40C_ro_gen_sel1_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_gen,1,0,20.0,0.25,10.0,ok_partial_coverage,True,3846,3846,759.9302530734158,759.930253278275,0.00022344243819993962,False,True,"[12, 13, 14, 15]",5185.66,0.04,759.887,0.006
nom_fast_1p32V_m40C_ro_gen_sel2_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_gen,2,0,20.0,0.25,10.0,ok_partial_coverage,True,2766,2766,546.5753974829761,546.5753603647577,2.799116468598727e-05,False,True,"[12, 13, 14, 15]",5135.38,-0.862,546.574,0.0
nom_fast_1p32V_m40C_ro_mat_sel0_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_mat,0,0,20.0,0.25,10.0,ok_partial_coverage,True,3483,3483,688.2882599116658,688.2898102014311,0.00010421441515669334,False,True,"[12, 13, 14, 15]",6880.18,-0.837,688.326,-0.005
nom_fast_1p32V_m40C_ro_mat_sel1_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_mat,1,0,20.0,0.25,10.0,ok_partial_coverage,True,1659,1659,327.8685958030315,327.86869861082755,7.363091528465505e-06,False,True,"[11, 12, 13, 14, 15]",6781.04,-2.861,327.869,-0.0
nom_fast_1p32V_m40C_ro_mat_sel2_w0_t20_p0.25_dt10,nom_fast_1p32V_m40C,ro_mat,2,0,20.0,0.25,10.0,ok_partial_coverage,True,1090,1090,215.28781541684137,215.2877955939284,8.81358933553762e-05,False,True,"[11, 12, 13, 14, 15]",6705.2,-1.289,215.271,0.008
nom_slow_1p08V_125C_ro_gen_sel0_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_gen,0,0,20.0,0.25,10.0,ok_partial_coverage,True,2627,2627,519.1211007161032,519.1219088765976,8.662956668027272e-05,False,True,"[12, 13, 14, 15]",4021.2,-0.892,519.114,0.002
nom_slow_1p08V_125C_ro_gen_sel1_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_gen,1,0,20.0,0.25,10.0,ok_partial_coverage,True,1621,1621,320.350298122763,320.3503262593085,3.243752201044253e-05,False,True,"[11, 12, 13, 14, 15]",3943.0,-2.483,320.349,0.0
nom_slow_1p08V_125C_ro_gen_sel2_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_gen,2,0,20.0,0.25,10.0,ok_partial_coverage,True,1168,1168,230.76184779583872,230.7618213068678,4.2546081835722615e-05,False,True,"[11, 12, 13, 14, 15]",3833.7,-1.044,230.763,-0.0
nom_slow_1p08V_125C_ro_mat_sel0_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_mat,0,0,20.0,0.25,10.0,ok_partial_coverage,True,1460,1460,288.5262253658949,288.5276905852324,4.4292501403091344e-05,False,True,"[11, 12, 13, 14, 15]",4987.47,-2.091,288.526,0.001
nom_slow_1p08V_125C_ro_mat_sel1_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_mat,1,0,20.0,0.25,10.0,ok_partial_coverage,True,699,699,138.03984377302052,138.03986345333695,2.4253892012179883e-05,False,True,"[10, 11, 12, 13, 14, 15]",4138.67,-2.936,138.04,-0.0
nom_slow_1p08V_125C_ro_mat_sel2_w0_t20_p0.25_dt10,nom_slow_1p08V_125C,ro_mat,2,0,20.0,0.25,10.0,ok_partial_coverage,True,460,460,90.86605208286244,90.86603196457185,1.8142498868129972e-05,False,True,"[9, 10, 11, 12, 13, 14, 15]",4022.04,-7.432,91.233,-0.402
nom_typ_1p20V_25C_ro_gen_sel0_w0_t20_p0.25_dt10,nom_typ_1p20V_25C,ro_gen,0,0,20.0,0.25,10.0,ok_partial_coverage,True,4161,4161,822.197633497148,822.1984094916752,0.00014260244861589362,False,True,"[13, 14, 15]",5080.38,-0.035,822.134,0.008
