tag,corner,canary,can_sel,win_sel,tclk_ns,phase,tstep_ps,status,accepted,counter_final,ring_edges,f_count_mhz,f_steady_mhz,cv,coverage_complete,rate_stable,unexercised_bits,wall_s,settle_after_gate_close_ns,f_osc_dataset_mhz,f_osc_delta_pct
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.05_dt10,nom_fast_1p32V_m40C,ro_gen,3,0,20.0,0.05,10.0,ok_partial_coverage,True,2190,2190,432.6577296180099,432.65770118051887,0.00012061190297370297,False,True,"[12, 13, 14, 15]",5266.59,-0.209,432.667,-0.002
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.35_dt10,nom_fast_1p32V_m40C,ro_gen,3,0,20.0,0.35,10.0,ok_partial_coverage,True,2190,2190,432.6577296188047,432.6577011834769,0.00012061190119450609,False,True,"[12, 13, 14, 15]",5258.36,-0.209,432.667,-0.002
nom_fast_1p32V_m40C_ro_gen_sel3_w0_t20_p0.65_dt10,nom_fast_1p32V_m40C,ro_gen,3,0,20.0,0.65,10.0,ok_partial_coverage,True,2190,2190,432.6577296195206,432.6577011861786,0.00012061189956709285,False,True,"[12, 13, 14, 15]",5267.01,-0.209,432.667,-0.002
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.05_dt10,nom_fast_1p32V_m40C,ro_mat,3,0,20.0,0.05,10.0,ok_partial_coverage,True,820,820,161.87944019771896,161.87944443706135,6.263864141376958e-05,False,True,"[10, 11, 12, 13, 14, 15]",6886.72,-0.184,161.876,0.002
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.35_dt10,nom_fast_1p32V_m40C,ro_mat,3,0,20.0,0.35,10.0,ok_partial_coverage,True,820,820,161.87944018031908,161.87944442003496,6.264082440421876e-05,False,True,"[10, 11, 12, 13, 14, 15]",6890.2,-0.184,161.876,0.002
nom_fast_1p32V_m40C_ro_mat_sel3_w0_t20_p0.65_dt10,nom_fast_1p32V_m40C,ro_mat,3,0,20.0,0.65,10.0,ok_partial_coverage,True,820,820,161.87944018058715,161.87944442070744,6.264082994314955e-05,False,True,"[10, 11, 12, 13, 14, 15]",6908.7,-0.184,161.876,0.002
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.05_dt10,nom_slow_1p08V_125C,ro_gen,3,0,20.0,0.05,10.0,ok_partial_coverage,True,925,925,182.72457576232605,182.72460807090434,2.6456871336450446e-05,False,True,"[10, 11, 12, 13, 14, 15]",4311.8,-2.656,182.726,-0.001
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.35_dt10,nom_slow_1p08V_125C,ro_gen,3,0,20.0,0.35,10.0,ok_partial_coverage,True,925,925,182.7245757626706,182.72460807360315,2.6456870428138446e-05,False,True,"[10, 11, 12, 13, 14, 15]",4305.7,-2.656,182.726,-0.001
nom_slow_1p08V_125C_ro_gen_sel3_w0_t20_p0.65_dt10,nom_slow_1p08V_125C,ro_gen,3,0,20.0,0.65,10.0,ok_partial_coverage,True,925,925,182.72457576298348,182.72460807603898,2.645686957142685e-05,False,True,"[10, 11, 12, 13, 14, 15]",4310.17,-2.656,182.726,-0.001
nom_slow_1p08V_125C_ro_mat_sel3_w0_t100_p0.05_dt10,nom_slow_1p08V_125C,ro_mat,3,0,100.0,0.05,10.0,ok_partial_coverage,True,1730,1730,68.37282014146773,68.37282450295919,1.1290213900805121e-05,False,True,"[11, 12, 13, 14, 15]",23217.29,-11.312,68.754,-0.555
