corner,v_volt,t_celsius,canary,can_sel,loop_delay_ns,line_seg_ns,gate_seg_ns,startpoint,endpoint,f_osc_mhz,count_win0,sat_win0,count_win1,sat_win1,count_win2,sat_win2,count_win3,sat_win3,run_id,git_commit,librelane_image,pdk_rev
nom_fast_1p32V_m40C,1.32,-40,ro_gen,0,0.45,0.32,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),1111.111,5688,0,22755,0,91022,1,364088,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,0,0.82,0.7,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),609.756,3121,0,12487,0,49951,0,199804,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,1,0.72,0.59,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),694.444,3555,0,14222,0,56888,0,227555,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,1,1.66,1.54,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),301.205,1542,0,6168,0,24674,0,98698,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,2,1.01,0.88,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),495.05,2534,0,10138,0,40554,0,162217,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,2,2.5,2.38,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),200.0,1024,0,4096,0,16384,0,65536,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_gen,3,1.27,1.14,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),393.701,2015,0,8062,0,32251,0,129007,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_fast_1p32V_m40C,1.32,-40,ro_mat,3,3.3,3.18,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),151.515,775,0,3103,0,12412,0,49648,0,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,0,0.67,0.48,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),746.269,3820,0,15283,0,61134,0,244537,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,0,1.25,1.07,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),400.0,2048,0,8192,0,32768,0,131072,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,1,1.06,0.87,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),471.698,2415,0,9660,0,38641,0,154566,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,1,2.45,2.27,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),204.082,1044,0,4179,0,16718,0,66873,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,2,1.48,1.29,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),337.838,1729,0,6918,0,27675,0,110702,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,2,3.65,3.47,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),136.986,701,0,2805,0,11221,0,44887,0,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_gen,3,1.86,1.67,0.19,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),268.817,1376,0,5505,0,22021,0,88086,1,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
nom_typ_1p20V_25C,1.2,25,ro_mat,3,4.8,4.62,0.18,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),104.167,533,0,2133,0,8533,0,34133,0,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c
