corner,period_ns,capture_duty,high_time_ns,freq_mhz,cfg_word,segs,pattern,cansel,winsel,forcecan,nframes_req,ops,n_compared,err_cnt,err_rate_per_op,gen_cnt,mat_cnt,cfg_echo,stat,err_dut,ro_note,sdf,run_id,git_commit,librelane_image,pdk_rev,log
(zero-delay reference),20,0.5,10.0,50.0,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p20_d0.5_w4dff_zdelay.log
nom_fast_1p32V_m40C,18,0.5,9.0,55.556,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_fast_1p32V_m40C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p18_d0.5_w4dff_nom_fast_1p32V_m40C.log
nom_fast_1p32V_m40C,20,0.5,10.0,50.0,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_fast_1p32V_m40C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p20_d0.5_w4dff_nom_fast_1p32V_m40C.log
nom_fast_1p32V_m40C,22,0.5,11.0,45.455,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_fast_1p32V_m40C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p22_d0.5_w4dff_nom_fast_1p32V_m40C.log
nom_fast_1p32V_m40C,24,0.5,12.0,41.667,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_fast_1p32V_m40C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p24_d0.5_w4dff_nom_fast_1p32V_m40C.log
nom_fast_1p32V_m40C,26,0.5,13.0,38.462,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_fast_1p32V_m40C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p26_d0.5_w4dff_nom_fast_1p32V_m40C.log
nom_typ_1p20V_25C,20,0.5,10.0,50.0,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p20_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,26,0.5,13.0,38.462,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p26_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,28,0.5,14.0,35.714,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p28_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,30,0.5,15.0,33.333,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p30_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,32,0.5,16.0,31.25,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p32_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,34,0.5,17.0,29.412,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p34_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,36,0.5,18.0,27.778,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p36_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,40,0.5,20.0,25.0,0x4DFF,3333,worst,3,0,1,200,200,199,0,0.0,0,0,ff,ec,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_typ_1p20V_25C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p40_d0.5_w4dff_nom_typ_1p20V_25C.log
nom_slow_1p08V_125C,36,0.5,18.0,27.778,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p36_d0.5_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,40,0.5,20.0,25.0,0x4DFF,3333,worst,3,0,1,200,200,199,49,0.246231,0,0,ff,fc,00,,/workspaces/tinyint-ttihp26b/data/safe10/sdf_path/nom_slow_1p08V_125C.iopath.sdf,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p40_d0.5_w4dff_nom_slow_1p08V_125C.log
