corner,v_volt,t_celsius,canary,can_sel,status,f_sta_mhz,f_spice_mhz,ratio_spice_over_sta,period_spice_ns,period_std_ps,n_periods,loop_delay_ns,line_seg_ns,gate_seg_ns,wire_share_pct,tstop_ns,tstep_ps,solver,spice_node,vmin,vmax,sta_startpoint,sta_endpoint
nom_fast_1p32V_m40C,1.32,-40,ro_gen,0,ok,1020.408,1054.6528516447318,1.0335599599814307,0.9481792975200318,4.25576415919074,205,0.49,0.35,0.14,71.42857142857143,213.8,5.0,,v(x1._1351_\/clk),-0.0411255168222174,1.3741725393464115,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_mat,0,ok,609.756,396.54916179425794,0.6503407293970997,2.521755424914581,51.55099570654163,113,0.82,0.69,0.13,84.14634146341464,337.5,5.0,,v(x1._1367_\/clk),-0.0477727389993595,1.374872569575185,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_gen,1,ok,657.895,769.418618096981,1.1695158317010785,1.2996826129231454,28.98107854361953,235,0.76,0.62,0.14,81.57894736842105,315.0,5.0,,v(x1._1351_\/clk),-0.09206057699853423,1.427637714798516,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_mat,1,ok,301.205,331.44211442476296,1.1003871596579173,3.017118092356966,0.031063657496409634,198,1.66,1.53,0.13,92.16867469879519,652.5,5.0,,v(x1._1367_\/clk),-0.04117395736172715,1.3853300309079566,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_gen,2,ok,476.19,550.9185595178815,1.156930131917683,1.8151503207209385,0.4560278278987088,223,1.05,0.91,0.14,86.66666666666666,423.8,5.0,,v(x1._1351_\/clk),-0.045205858204177087,1.374879575806945,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_mat,2,ok,200.0,216.98768575199995,1.0849384287599997,4.608556455793175,1.5346434493920271,191,2.5,2.37,0.13,94.8,967.5,5.0,,v(x1._1367_\/clk),-0.050807326240362466,1.3748592657573213,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_gen,3,ok,381.679,430.8629670625209,1.1288621251431725,2.320923533571855,0.22145039807414016,204,1.31,1.17,0.14,89.31297709923663,521.3,5.0,,v(x1._1351_\/clk),-0.039522720815304654,1.375675705917058,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_fast_1p32V_m40C,1.32,-40,ro_mat,3,ok,150.602,159.3945049264007,1.0583823915114057,6.273741999209715,2.551265290245316,195,3.32,3.19,0.13,96.0843373493976,1275.0,5.0,,v(x1._1367_\/clk),-0.06480750997806042,1.39042169746517,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
nom_typ_1p20V_25C,1.2,25,ro_gen,0,ok,694.444,653.8621887763003,0.9415621544376513,1.5293742583150356,5.486623918603296,175,0.72,0.52,0.2,72.22222222222223,300.0,5.0,,v(x1._1351_\/clk),-0.04103099272754082,1.2535147236043997,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out)
nom_typ_1p20V_25C,1.2,25,ro_mat,0,ok,400.0,226.03287242433157,0.565082181060829,4.424135256409518,43.165727320233394,93,1.25,1.05,0.2,84.0,498.8,5.0,,v(x1._1367_\/clk),-0.040647857701871855,1.2540204342152563,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out)
