corner,canary,can_sel,vdd,temp,lib,status,control_pins,n_control_pins,f_osc_mhz,period_ns,period_std_ps,n_periods,n_periods_raw,period_min_s,period_max_s,node,vmin,vmax,tstop_ns,tstep_ps,solver,wall_s,deck,raw,log,loop_delay_ns,line_seg_ns,gate_seg_ns,startpoint,endpoint,f_osc_sta_mhz,run_id,git_commit,librelane_image,pdk_rev,cv,n_modes,measurement_source,note
nom_fast_1p32V_m40C,ro_gen,0,1.32,-40,mos_ff,ok,ok,6,1235.0992,0.8096515903694108,0.1196,37,37,,,v(x1._1347_\/clk),-0.0373,1.3706,33.93,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel0.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel0.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel0.log,0.45,0.32,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),1111.111,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.0001476864210649827,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_gen,1,1.32,-40,mos_ff,ok,ok,6,759.8867,1.3159856446174327,0.2942,34,34,,,v(x1._1347_\/clk),-0.038,1.3721,51.4,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel1.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel1.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel1.log,0.72,0.59,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),694.444,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.0002235365738844897,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_gen,2,1.32,-40,mos_ff,ok,ok,6,546.5744,1.8295770552163917,0.0458,33,33,,,v(x1._1347_\/clk),-0.0375,1.3714,69.12,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel2.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel2.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel2.log,1.01,0.88,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),495.05,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,2.5049824095506598e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_gen,3,1.32,-40,mos_ff,ok,ok,6,432.6667,2.311247784417899,0.2882,33,33,,,v(x1._1347_\/clk),-0.0381,1.3721,85.74,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel3.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel3.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_gen_sel3.log,1.27,1.14,0.13,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),393.701,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,0.00012469838965958646,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_mat,0,1.32,-40,mos_ff,ok,ok,6,688.326,1.452799918386558,0.1418,34,34,,,v(x1._1363_\/clk),-0.0375,1.3714,56.12,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel0.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel0.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel0.log,0.82,0.7,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),609.756,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,9.757519759872841e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_mat,1,1.32,-40,mos_ff,ok,ok,6,327.8687,3.050001877787967,0.0227,32,32,,,v(x1._1363_\/clk),-0.0381,1.3657,111.23,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel1.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel1.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel1.log,1.66,1.54,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),301.205,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,7.457065939036599e-06,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_mat,2,1.32,-40,mos_ff,ok,ok,6,215.2714,4.645298404335725,0.4479,33,33,,,v(x1._1363_\/clk),-0.037,1.3712,166.25,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel2.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel2.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel2.log,2.5,2.38,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),200.0,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,9.641856283449541e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_fast_1p32V_m40C,ro_mat,3,1.32,-40,mos_ff,ok,ok,6,161.8761,6.177562706490703,0.3827,31,31,,,v(x1._1363_\/clk),-0.0381,1.3721,216.43,10.0,klu,,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel3.sp,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel3.raw,runs/fosc-counter/nom_fast_1p32V_m40C_ro_mat_sel3.log,3.3,3.18,0.12,u_ro_mat.u_gate.u_a3/X (nand_out),u_ro_mat.u_gate.u_a3/X (nand_out),151.515,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,6.194779534637923e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_gen,0,1.08,125,mos_ss,ok,ok,6,519.1135,1.9263608306566398,0.1689,33,33,,,v(x1._1347_\/clk),-0.037,1.1286,72.36,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel0.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel0.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel0.log,1.06,0.76,0.3,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),471.698,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,8.766273639717845e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
nom_slow_1p08V_125C,ro_gen,1,1.08,125,mos_ss,ok,ok,6,320.3491,3.121594092630136,0.0972,32,32,,,v(x1._1347_\/clk),-0.0375,1.1293,113.51,10.0,klu,,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel1.sp,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel1.raw,runs/fosc-counter/nom_slow_1p08V_125C_ro_gen_sel1.log,1.67,1.37,0.3,u_ro_gen.u_gate.u_a3/X (nand_out),u_ro_gen.u_gate.u_a3/X (nand_out),299.401,35034979531,0a7cd5edd8cea7a45085898f84db403c93b25af0,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,3.11454826317594e-05,1,"counter-inclusive deck, 30 periods @ 10 ps, run 35034979531 netlist",
