corner,period_ns,freq_mhz,cfg_word,segs,pattern,cansel,winsel,forcecan,nframes_req,ops,err_cnt,err_rate_per_op,gen_cnt,mat_cnt,cfg_echo,stat,err_dut,ro_note,sdf,run_id,git_commit,librelane_image,pdk_rev,log
(zero-delay reference),20,50.0,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p20_w4dff_zdelay.log
nom_slow_1p08V_125C,22,45.455,0x4DFF,3333,worst,3,0,1,200,200,49,0.245,0,0,ff,fc,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p22_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,24,41.667,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p24_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,25,40.0,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p25_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,26,38.462,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p26_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,28,35.714,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p28_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,30,33.333,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p30_w4dff_nom_slow_1p08V_125C.log
nom_slow_1p08V_125C,40,25.0,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_slow_1p08V_125C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p40_w4dff_nom_slow_1p08V_125C.log
nom_typ_1p20V_25C,14,71.429,0x4DFF,3333,worst,3,0,1,200,200,49,0.245,0,0,ff,fc,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_typ_1p20V_25C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p14_w4dff_nom_typ_1p20V_25C.log
nom_typ_1p20V_25C,16,62.5,0x4DFF,3333,worst,3,0,1,200,200,0,0.0,0,0,ff,ec,00,,/home/patrick/Data/verilog/tinyint-ttihp26b/data/sdf_path/nom_typ_1p20V_25C.iopath.sdf,33839023290,1e31757e50080b19fa7642b8b9cd6822f64b1d11,ghcr.io/librelane/librelane:3.0.5,c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c,run_p16_w4dff_nom_typ_1p20V_25C.log
