instance,master,x_um,y_um,width_um,height_um,category
FILLER_0_0,sg13g2_decap_8,2.88,3.78,3.36,3.78,Physical-only cells
FILLER_0_132,sg13g2_decap_8,66.24,3.78,3.36,3.78,Physical-only cells
FILLER_0_139,sg13g2_decap_8,69.6,3.78,3.36,3.78,Physical-only cells
FILLER_0_14,sg13g2_decap_8,9.6,3.78,3.36,3.78,Physical-only cells
FILLER_0_146,sg13g2_fill_1,72.96,3.78,0.48,3.78,Physical-only cells
FILLER_0_152,sg13g2_decap_8,75.84,3.78,3.36,3.78,Physical-only cells
FILLER_0_159,sg13g2_decap_8,79.2,3.78,3.36,3.78,Physical-only cells
FILLER_0_166,sg13g2_decap_4,82.56,3.78,1.92,3.78,Physical-only cells
FILLER_0_170,sg13g2_fill_2,84.48,3.78,0.96,3.78,Physical-only cells
FILLER_0_185,sg13g2_fill_1,91.68,3.78,0.48,3.78,Physical-only cells
FILLER_0_190,sg13g2_decap_8,94.08,3.78,3.36,3.78,Physical-only cells
FILLER_0_197,sg13g2_decap_4,97.44,3.78,1.92,3.78,Physical-only cells
FILLER_0_201,sg13g2_fill_2,99.36,3.78,0.96,3.78,Physical-only cells
FILLER_0_21,sg13g2_decap_8,12.96,3.78,3.36,3.78,Physical-only cells
FILLER_0_213,sg13g2_fill_2,105.12,3.78,0.96,3.78,Physical-only cells
FILLER_0_215,sg13g2_fill_1,106.08,3.78,0.48,3.78,Physical-only cells
FILLER_0_248,sg13g2_decap_8,121.92,3.78,3.36,3.78,Physical-only cells
FILLER_0_255,sg13g2_fill_2,125.28,3.78,0.96,3.78,Physical-only cells
FILLER_0_28,sg13g2_decap_8,16.32,3.78,3.36,3.78,Physical-only cells
FILLER_0_289,sg13g2_decap_4,141.6,3.78,1.92,3.78,Physical-only cells
FILLER_0_293,sg13g2_fill_2,143.52,3.78,0.96,3.78,Physical-only cells
FILLER_0_298,sg13g2_fill_1,145.92,3.78,0.48,3.78,Physical-only cells
FILLER_0_323,sg13g2_decap_4,157.92,3.78,1.92,3.78,Physical-only cells
FILLER_0_348,sg13g2_decap_8,169.92,3.78,3.36,3.78,Physical-only cells
FILLER_0_35,sg13g2_decap_8,19.68,3.78,3.36,3.78,Physical-only cells
FILLER_0_355,sg13g2_decap_8,173.28,3.78,3.36,3.78,Physical-only cells
FILLER_0_362,sg13g2_decap_8,176.64,3.78,3.36,3.78,Physical-only cells
FILLER_0_369,sg13g2_decap_8,180.0,3.78,3.36,3.78,Physical-only cells
FILLER_0_376,sg13g2_decap_8,183.36,3.78,3.36,3.78,Physical-only cells
FILLER_0_383,sg13g2_decap_8,186.72,3.78,3.36,3.78,Physical-only cells
FILLER_0_390,sg13g2_decap_8,190.08,3.78,3.36,3.78,Physical-only cells
FILLER_0_397,sg13g2_decap_8,193.44,3.78,3.36,3.78,Physical-only cells
FILLER_0_404,sg13g2_decap_4,196.8,3.78,1.92,3.78,Physical-only cells
FILLER_0_408,sg13g2_fill_1,198.72,3.78,0.48,3.78,Physical-only cells
FILLER_0_42,sg13g2_decap_8,23.04,3.78,3.36,3.78,Physical-only cells
FILLER_0_49,sg13g2_decap_8,26.4,3.78,3.36,3.78,Physical-only cells
FILLER_0_56,sg13g2_decap_8,29.76,3.78,3.36,3.78,Physical-only cells
FILLER_0_63,sg13g2_decap_8,33.12,3.78,3.36,3.78,Physical-only cells
FILLER_0_7,sg13g2_decap_8,6.24,3.78,3.36,3.78,Physical-only cells
FILLER_0_70,sg13g2_decap_8,36.48,3.78,3.36,3.78,Physical-only cells
FILLER_0_77,sg13g2_decap_8,39.84,3.78,3.36,3.78,Physical-only cells
FILLER_0_93,sg13g2_decap_4,47.52,3.78,1.92,3.78,Physical-only cells
FILLER_10_0,sg13g2_decap_8,2.88,41.58,3.36,3.78,Physical-only cells
FILLER_10_105,sg13g2_decap_8,53.28,41.58,3.36,3.78,Physical-only cells
FILLER_10_112,sg13g2_fill_2,56.64,41.58,0.96,3.78,Physical-only cells
FILLER_10_114,sg13g2_fill_1,57.6,41.58,0.48,3.78,Physical-only cells
FILLER_10_119,sg13g2_fill_1,60.0,41.58,0.48,3.78,Physical-only cells
FILLER_10_138,sg13g2_decap_8,69.12,41.58,3.36,3.78,Physical-only cells
FILLER_10_14,sg13g2_decap_8,9.6,41.58,3.36,3.78,Physical-only cells
FILLER_10_145,sg13g2_decap_4,72.48,41.58,1.92,3.78,Physical-only cells
FILLER_10_149,sg13g2_fill_1,74.4,41.58,0.48,3.78,Physical-only cells
FILLER_10_154,sg13g2_decap_4,76.8,41.58,1.92,3.78,Physical-only cells
FILLER_10_163,sg13g2_decap_8,81.12,41.58,3.36,3.78,Physical-only cells
FILLER_10_170,sg13g2_fill_2,84.48,41.58,0.96,3.78,Physical-only cells
FILLER_10_172,sg13g2_fill_1,85.44,41.58,0.48,3.78,Physical-only cells
